stage_id,source,search_id,title,year,q1_class,q2_arch,q3_domain,e1_nonenglish,e2_doctype,e3_fulltext,e4_largeonly,e5_no_lm,e6_wargame,e7_no_domain,provisional_class,decision_basis,evidence,screener,decision_ts,notes,dedup_status,human_should_be,human_rationale,reviewer,review_date
S5027,arxiv,AX_q3,Improving Zero-shot LLM Re-Ranker with Risk Minimization,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q2: 'In the Retrieval-Augmented Generation (RAG) system, advanced Large Language Models (LLMs) have emerged as effective Query Likelihood Models (QLMs) in an unsupervised way, which re-rank documents based on the probability of generating the query given the content of a document.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T03:49:59,,canonical,correct_OUT,"The paper focuses on improving a retrieval-augmented generation (RAG) system using a novel framework, $	ext{UR}^3$, which addresses the bias in estimating query likelihood models (QLMs) using large language models (LLMs). While it discusses LLMs, it does not specifically address the use of small or edge models, nor does it focus on the domain of disaster, emergency response, mass casualty, or civilian conflict/war humanitarian settings. Therefore, it is correctly excluded.",,
S6677,arxiv,AX_q3,Learning What Matters Now: A Dual-Critic Context-Aware RL Framework for Priority-Driven Information Gain,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'CA-MIQ (Context-Aware Max-Information Q-learning), a lightweight dual-critic reinforcement learning (RL) framework'; q3: 'In a simulated SAR grid-world, where experiments specifically test adaptation to changes in the priority order of information types the agent is expected to focus on'",qwen2.5:7b_temp0_schema_v1,2026-09-10T06:33:44,,canonical,correct_OUT,"The paper focuses on a reinforcement learning framework for autonomous systems in search-and-rescue missions, which does not involve language models or the domain of disaster or conflict settings as defined by the systematic review.",,
S9795,arxiv,AX_q3,Decoding the Architecture of Living Systems,2025,no,no,no,0.0,0.0,,0.0,1.0,0.0,1.0,OUT,E5 no language model involved,"e5_no_lm: no language model is involved at all (pure statistical physics, evolutionary dynamics).",qwen2.5:7b_temp0_schema_v1,2026-09-10T14:23:22,,canonical,correct_OUT,"The paper does not discuss any language models, small models, edge models, or models in disaster or conflict settings. It focuses on the architecture of living systems from a biological and evolutionary perspective, which is not aligned with the review's focus on LLMs for emergency guidance.",,
S5578,arxiv,AX_q3,Agent-based models for the evolution of morphological alternation patterns,2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'We present a multi-agent simulation of the emergence of morphological stem and inflection alternations.'; q3: 'We also present three case studies modeling attested historical changes, allowing us to test what might have happened if history had been different.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T04:36:13,,canonical,correct_OUT,"The paper focuses on the evolution of morphological alternation patterns in languages through multi-agent simulations and does not involve any language models, let alone small or edge models for emergency guidance in disaster or conflict settings. It is purely off-topic.",,
S9400,arxiv,AX_q3,Self-Supervised Learning via Conditional Motion Propagation,2019,no,no,no,0.0,0.0,,0.0,1.0,0.0,1.0,OUT,E5 no language model involved,"q5_no_lm: no language model is involved at all (pure RL, computer vision, sensors, routing, optimization).",qwen2.5:7b_temp0_schema_v1,2026-09-10T13:48:26,,canonical,correct_OUT,"The paper focuses on self-supervised learning for visual representations and does not involve language models, emergency guidance, or disaster/conflict settings. It is purely off-topic.",,
S10203,arxiv,AX_q5,SODA: Semi On-Policy Black-Box Distillation for Large Language Models,2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: 'SODA matches or outperforms the state-of-the-art methods on 15 out of 16 benchmark results.',qwen2.5:7b_temp0_schema_v1,2026-09-10T15:00:01,,canonical,correct_OUT,"The paper focuses on a method for knowledge distillation in large language models, which does not align with the specified axes of the review (Axis A, B, or C). It is purely off-topic and does not discuss the use of small or edge language models in disaster or conflict settings.",,
S9900,arxiv,AX_q3,Proxy Model-Guided Reinforcement Learning for Client Selection in Federated Recommendation,2025,no,no,no,0.0,0.0,,0.0,1.0,0.0,1.0,OUT,E5 no language model involved,"e5_no_lm: no language model is involved at all (pure RL, computer vision, sensors, routing, optimization).",qwen2.5:7b_temp0_schema_v1,2026-09-10T14:32:35,,canonical,correct_OUT,"The paper focuses on federated learning and recommendation systems, which are not related to the disaster, emergency response, or conflict settings (Axis C). It also does not discuss the use of language models (Axis A) or the architecture related to the use of language models (Axis B).",,
S8666,arxiv,AX_q3,Discrete Distributionally Robust Optimal Control with Explicitly Constrained Optimization,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: 'Distributionally robust optimal control (DROC) is gaining interest.'; q3: 'The proposed method is applied to a DDROC version of a patrol-agent design problem.',qwen2.5:7b_temp0_schema_v1,2026-09-10T12:44:14,,canonical,correct_OUT,"The paper does not discuss any language models, edge computing, or disaster/conflict settings. It is purely about a mathematical optimization technique for control policies and does not fit any of the required axes.",,
S4768,arxiv,AX_q3,Emergence of Anti-chemotactic Flocking in Active Biomimetic Colloids,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'Competition for resources is a fundamental constraint that guides the self-organization of natural, biological, and human systems, ranging from urban planning and ecosystem development to intracellular pattern formation.'; q3: 'Actin treadmilling offers a platform to study how motile agents that interact through a field self-organize in novel dynamical phases, with potential applications in non-reciprocal and trainable active matter.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T03:28:18,,canonical,correct_OUT,"The paper does not discuss any language models, small models, edge models, or models in disaster or conflict settings. It focuses on the self-organization of colloids and actin treadmilling, which is purely off-topic for the given systematic review.",,
S3106,arxiv,AX_q3,BEE-RAG: Balanced Entropy Engineering for Retrieval-Augmented Generation,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q2: 'retrieval-augmented generation (RAG)'; q3: 'across multiple RAG tasks',qwen2.5:7b_temp0_schema_v1,2026-09-09T21:59:30,,canonical,correct_OUT,"auto_correction: hallucinated by auditor, missing disaster domain",,
S4675,arxiv,AX_q3,A Survey on Large Language Model-Based Game Agents,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'LLMs provides new opportunities to endow these agents with generalizable reasoning, memory, and adaptability in complex game environments.'; q3: 'A curated list of related papers is available at https://github.com/git-disl/awesome-LLM-game-agent-papers'",qwen2.5:7b_temp0_schema_v1,2026-09-10T03:20:39,,canonical,correct_OUT,"The paper focuses on LLM-based game agents in game environments, which does not align with the disaster, emergency response, or conflict settings specified in Axis C. Additionally, it does not discuss small or edge language models, which are key to the review's focus on offline emergency guidance.",,
S0840,openalex,OA_q29,"MLS Virtual Hospital: A Free, AI-Augmented Clinical Education Platform for Medical Students (Preprint)",2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'We engineered the platform as an independent initiative, relying entirely on a free-tier technological stack to ensure universal access.'; q3: 'Every feature is entirely free with no subscription required.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T18:41:52,abstract truncated to 2500 chars,canonical,correct_OUT,"The paper is about a clinical education platform for medical students and does not address the disaster, emergency response, or conflict settings (Axis C). It also does not focus on small or edge language models (Axis A) or their application in the context of the review's domain (Axis B).",,
S3548,arxiv,AX_q3,The Emergence of Compositional Languages for Numeric Concepts Through Iterated Learning in Neural Agents,2019,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: '...'; q3: '...';,qwen2.5:7b_temp0_schema_v1,2026-09-09T22:40:40,,canonical,correct_OUT,"The paper does not fit any of the defined axes. It focuses on the emergence of compositional languages in multi-agent systems for numeric concepts, which is not related to small or edge language models, nor is it specifically in the context of disaster or emergency response settings.",,
S0248,ieee,IEEE_supp,Explaining Federated Learning-Based Movie Recommendations,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'To enhance transparency and user trust, we borrow the post-hoc explanation strategies from the XAI literature and we leverage Large Language Models (LLMs) to harmonize the explanations with clear, understandable sentences for recommendations toward end-users.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T17:49:11,,canonical,correct_OUT,"The paper focuses on recommender systems in industries like entertainment, healthcare, and e-commerce, which do not align with the disaster, emergency response, or conflict settings (Axis C). Additionally, the paper does not discuss any small, edge, quantized, distilled, or on-device language models (Axis A), nor does it involve a head-to-head comparison of large vs. small models. The paper is purely off-topic and does not fit any of the required categories.",,
S2381,openalex,OA_q34,"Dataset: A 3x3 Evaluation Matrix of Biological Interactions of ARHGAP32, RGNEF (ARHGEF28), and TDP-43 in Neurodegenerative Disease found in PubMed Literature as of August 5, 2026 - PathMap Experiment #000098",2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: '...'; q3: '...';,qwen2.5:7b_temp0_schema_v1,2026-09-09T20:56:32,abstract truncated to 2500 chars,canonical,correct_OUT,"The paper does not discuss any language models, small models, or edge models. It is focused on biological interactions and mechanisms related to neurodegenerative diseases, specifically TDP-43 and RGNEF. It does not fit any of the criteria for inclusion in the systematic review.",,
S0933,openalex,OA_q30,Humanoid RAG: A Discourse-Aware Hierarchical RetrievalAugmented Generation (RAG) System with Multi-Level Question Planning,2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q2: 'However, traditional RAG systems struggle with complex, multi-step questions.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T18:49:51,,canonical,correct_OUT,"auto_correction: hallucinated by auditor, missing disaster domain",,
S9463,arxiv,AX_q3,Bootstrapped Representations in Reinforcement Learning,2023,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'state representations are key to dealing with large or continuous state spaces.'; q3: 'We complement our theoretical results with an empirical comparison of these learning rules for different cumulant functions on classic domains such as the four-room domain (Sutton et al, 1999) and Mountain Car (Moore, 1990).'",qwen2.5:7b_temp0_schema_v1,2026-09-10T13:53:57,,canonical,correct_OUT,"The paper focuses on reinforcement learning and state representation learning, which are not related to language models or emergency guidance in disaster or conflict settings. It does not fit any of the axes A, B, or C.",,
S10598,arxiv,AX_q5,TS-Align: A Teacher-Student Collaborative Framework for Scalable Iterative Finetuning of Large Language Models,2024,no,no,no,0.0,0.0,,1.0,0.0,0.0,1.0,OUT,E4 large-model-only (no smaller variant deployed/compared),q4: 'TS-Align: A Teacher-Student Collaborative Framework for Scalable Iterative Finetuning of Large Language Models'; e4_largeonly: 'The standard process for iterative alignment of LLMs involves collecting new human feedback for each update.',qwen2.5:7b_temp0_schema_v1,2026-09-10T15:35:56,,canonical,correct_OUT,"The paper focuses on a framework for aligning large language models using a teacher-student collaborative approach, which does not fit into the specified Axis A (Model) as it does not discuss small or edge language models. It also does not address the Axis C (Domain) of disaster, emergency response, or conflict settings.",,
S11069,arxiv,AX_q5,"Systematic Characterization of LLM Quantization: A Performance, Energy, and Quality Perspective",2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: '...'; q3: '...';,qwen2.5:7b_temp0_schema_v1,2026-09-10T16:19:13,,canonical,correct_OUT,"The paper focuses on the quantization of large language models, which does not align with the Axis A criteria of small or edge language models. The study is also purely technical and does not address the disaster or emergency response domains as specified in Axis C.",,
S1563,openalex,OA_q34,Large Language Model-Based Autonomous Agents,2024,no,no,no,0.0,0.0,,1.0,0.0,0.0,1.0,OUT,E4 large-model-only (no smaller variant deployed/compared),"q4_largeonly: 'This study introduces a novel architectural framework for AI agents, with a focus on leveraging Large Language Models (LLMs), such as OpenAI’s GPT-4, to create a foundation for advanced autonomous functionality.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T19:44:35,,canonical,correct_OUT,"The paper focuses on AI agents and software development, which does not align with the disaster, emergency response, or conflict settings (Axis C). Additionally, it does not discuss small or edge language models (Axis A), making it purely off-topic for the systematic review.",,
S6573,arxiv,AX_q3,Dynamical strategies for obstacle avoidance during Dictyostelium discoideum aggregation: a Multi-agent system model,2019,no,no,no,0.0,0.0,,0.0,1.0,0.0,1.0,OUT,E5 no language model involved,"e5_no_lm: no language model is involved at all (pure RL, computer vision, sensors, routing, optimization).",qwen2.5:7b_temp0_schema_v1,2026-09-10T06:24:07,,canonical,correct_OUT,"The paper focuses on the behavior of the social amoeba Dictyostelium discoideum in response to chemical stimuli and does not involve any language models or address the domains of disaster, emergency response, or conflict settings. It is purely off-topic.",,
S9855,arxiv,AX_q3,Dynamic Reinforcement Learning for Actors,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'Dynamic Reinforcement Learning (Dynamic RL), proposed in this paper, directly controls system dynamics, instead of the actor (action-generating neural network) outputs at each moment, bringing about a major qualitative shift in reinforcement learning (RL) from static to dynamic.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T14:28:40,,canonical,correct_OUT,"The paper focuses on Dynamic Reinforcement Learning and its application in controlling system dynamics, which does not align with the specific domain of disaster, emergency response, or conflict settings (Axis C). The paper also does not discuss the use of language models (Axis A) or specific architectures (Axis B) relevant to the review's focus on small and edge language models for offline emergency guidance.",,
S2155,openalex,OA_q34,SGA: Plug&Play Geometric Verification for Educational Video Synthesis,2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'Recent work leverages Large Language Models (LLMs) to generate executable code for pedagogical animations using libraries such as Manim.'; q3: 'Experiments on the MMMC-Code benchmark across four LLM backbones and two agentic pipelines show that SGA achieves a peak MVQS of 73.11 (Code2Video + GPT-5.1), corresponding to a 16.1% relative improvement over the raw baseline, and improves MVQS in 7 of 8 backbone x pipeline configurations.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T20:35:57,,canonical,correct_OUT,"The paper does not discuss any models in the context of disaster, emergency response, or conflict settings (Axis C). It focuses on generating educational animations using LLMs, which is purely off-topic (Axis A).",,
S2228,openalex,OA_q34,Why AI Can't Simulate Extreme Decision-Making,2026,no,no,no,0.0,0.0,,1.0,0.0,1.0,1.0,OUT,"E6 wargame/military-tactical central, no humanitarian component","q4: 'The CIA published an operational assessment last December in their flagship journal, *Studies in Intelligence*, of a system called Snow Globe—IQT Labs' multi-agent LLM wargaming platform designed to simulate geopolitical crises with AI personas playing assigned roles.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T20:41:58,abstract truncated to 2500 chars,canonical,correct_OUT,"The paper does not discuss any small or edge language models, nor does it focus on the domain of disaster, emergency response, mass casualty, or civilian conflict/war humanitarian settings. It primarily discusses the limitations of large language models in simulating extreme human decision-making, which is outside the scope of the review's focus.",,
S9257,arxiv,AX_q3,Coherence and Concentration in Tightly-Connected Networks,2021,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: 'The ability to achieve coordinated behavior -- engineered or emergent -- on networked systems has attracted widespread interest over several fields.'; q3: 'Our analysis unveils the frequency-dependent nature of coherence and a non-trivial interplay between dynamics and network topology.',qwen2.5:7b_temp0_schema_v1,2026-09-10T13:36:05,,canonical,correct_OUT,"The paper does not discuss any language models, small or otherwise, and is focused on network theory and dynamics. It does not fit any of the axes A, B, or C.",,
