stage_id,h2_q1,h2_q1_ev,h2_q2,h2_q2_ev,h2_q3,h2_q3_ev,q1_agree,q2_agree,q3_agree,pass2_used,h2_status,final_class,final_basis,title,year,venue,search_id
S0002,yes,"lightweight, multi-agent architecture",yes,"Specialized agents collaboratively handle intake, triage, knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline, and proximity-aware resource allocation.",yes,"disaster response systems are critical for saving lives but are often hindered by fragmented data, inefficient resource coordination, and poor situational awareness",True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,full_ABC (all yes),ResQConnect: Agentic AI for Human-Centered Disaster Response Systems,2025,2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),IEEE_core|SCOPUS_S2
S0054,yes,a UAV-side lightweight LLM converts sensed images into low-bit-rate semantic text,yes,a retrieval-augmented generation (RAG) and large language model (LLM)-enhanced generative semantic communication framework (RLE-GSC) for UAV-assisted emergency response,yes,UAV-assisted emergency response,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,full_ABC (all yes),LLM-Enhanced Generative Semantic Communication and DRL Resource Management for UAV-Assisted Emergency Response,2026,IEEE Transactions on Vehicular Technology,IEEE_core|IEEE_supp|SCOPUS_S2
S0575,yes,"GPT-4o-mini achieves the highest average macro F1 score (0.77) using just five labelled examples per class, while the multilingual-e5-base model fine-tuned with SetFit offers a strong alternative (avg. macro F1 = 0.65) without reliance on prompt engineering.",no,no verbatim quote supports multi-agent architecture or orchestration,yes,"Social media can provide real-time insights during natural disasters, yet efficiently identifying relevant content remains a challenge due to the reliance on large labelled datasets and high computational costs.",True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_AC,"partial_AC (q1+q3 yes, q2 no)",Few-Shot Learning for Relevance Classification of Textual Social Media Posts in Disaster Response,2025,,OA_q1
S0610,yes,"Small language models (SLMs) offer a viable alternative, yet struggle with the complex emotional dynamics of high-stakes negotiation.",yes,"EmoMAS leverages a Bayesian orchestrator to coordinate three specialized agents: game-theoretic, reinforcement learning, and psychological coherence models.",yes,emergency response,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,full_ABC (all yes),EmoMAS: Emotion-Aware Multi-Agent System for High-Stakes Edge-Deployable Negotiation with Bayesian Orchestration,2026,arXiv (Cornell University),AX_q1|AX_q3|AX_q5|OA_q2|OA_q33|OA_q42
S0706,unsure,LLM-based judge with a structured rubric to assess outputs,yes,"integrating adaptive query reformulation, metadata-aware filtering, and iterative self-assessment",yes,"disaster response, where fragmented citizen help requests must be converted into field-executable tasks",True,True,True,True,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Metadata-Aware Agentic Rag Framework for Disaster Response and Task Synthesis,2026,,OA_q28|OA_q32
S0722,no,Large Language Models,yes,Retrieval-Augmented Generation and Large Language Models,yes,"Disaster Risk Reduction and Management chatbot... typhoons, floods, evacuation instructions, emergency hotlines, go-bag preparation, and weather warnings",True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Localized Cebuano-English DRRM Chatbot via Retrieval-Augmented Generation and Large Language Models,2026,Zenodo (CERN European Organization for Nuclear Research),OA_q28|OA_q29
S0765,no,"conventional large language models (LLMs), which rely solely on parametric knowledge",yes,Retrieval-Augmented Generation (RAG)-enhanced LLM framework,yes,emergency management of hydrogen leakage and explosion incidents,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",A Retrieval-Augmented Generation (RAG) framework for emergency management of hydrogen leakage and explosions,2026,Energy and Safety Science,OA_q29|OA_q48
S0777,no,Large Language Models (LLMs),yes,a Retrieval Augmented Generation (RAG) pipeline,yes,flood risk communication,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Improved Flood Management and Risk Communication Through LLM,2026,,OA_q29
S1258,no,large language models (LLMs) show promise in synthesising complex information,yes,"AISHA, an agentic superforecaster that combines retrieval-augmented generation, probabilistic reasoning, and explicit hypothesis testing",yes,"disaster and crisis-related settings to support rapid analysis, anticipatory action discussions, and operational prioritisation",True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",From Data to Decisions: An AI Situation Room for Crisis and Disaster Management,2026,,OA_q32
S1275,yes,LLM-coordinated multi-agent system,yes,"introduced a novel agentic AI framework, implemented as an LLM-coordinated multi-agent system",yes,Flood forecasting is a critical challenge in disaster management,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",An Agentic AI Framework for Dynamic Data Fusion in Flood Forecasting,2026,,OA_q32|SCOPUS_S2
