stage_id,title,search_id,audit_lane,q1_class,q2_arch,q3_domain,decision_basis,flag_slm_title,flag_dom_title,priority,human_should_be,human_rationale
S5930,Multi-Agentic AI for Fairness-Aware and Accelerated Multi-modal Large Model Inference in Real-world Mobile Edge Networks,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on deploying large models in mobile edge networks, which does not align with the requirement of being centrally set in a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not meet the inclusion criteria for Axis A as it discusses large models rather than small or edge models."
S11573,Towards Inclusive NLP: Assessing Compressed Multilingual Transformers across Diverse Language Benchmarks,AX_q5,AX_q5_15pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on benchmarking large language models across different languages and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not discuss small or edge language models, making it off-topic for the review."
S10206,UniSD: Towards a Unified Self-Distillation Framework for Large Language Models,AX_q5,AX_q5_15pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on self-distillation techniques for large language models, which does not align with the requirement for a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve small or edge language models, and thus fails the Axis A and C criteria."
S10606,Warmup-Distill: Bridge the Distribution Mismatch between Teacher and Student before Knowledge Distillation,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on knowledge distillation techniques for LLMs, which does not address any disaster, emergency response, conflict, or crisis setting. It is purely about improving the performance of LLMs through distribution alignment during distillation, which does not meet the Axis C requirement."
S10403,OliVe: Accelerating Large Language Models via Hardware-friendly Outlier-Victim Pair Quantization,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on model quantization techniques for large language models, which does not align with the inclusion criteria for the review as it does not involve small or edge language models, and it is not set in a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting."
S10341,Towards Efficient and Explainable Hate Speech Detection via Model Distillation,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on hate speech detection and explanation, which is not directly related to disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis settings. It also does not involve small or edge language models for offline guidance."
S10461,Enhancing Reasoning Capabilities in SLMs with Reward Guided Dataset Distillation,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on improving the reasoning capabilities of Small Language Models (SLMs) through a reward-guided dataset distillation framework. It does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. Therefore, it fails the Axis C requirement."
S11005,SERQ: Saliency-Aware Low-Rank Error Reconstruction for LLM Quantization,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on quantization techniques for large language models (LLMs) and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is also not directly related to small or edge language models for offline emergency guidance."
S10099,SpikingMamba: Towards Energy-Efficient Large Language Models via Knowledge Distillation from Mamba,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on energy-efficient large language models (LLMs) and does not provide any context related to disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis settings. It is primarily about improving the efficiency of LLMs for edge devices, which does not meet the Axis C requirement."
S11082,HALO: Hardware-aware quantization with low critical-path-delay weights for LLM acceleration,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on quantization techniques for large language models (LLMs) and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is also not directly related to the deployment of small or edge language models for offline emergency guidance."
S10253,ROSAQ: Rotation-based Saliency-Aware Weight Quantization for Efficiently Compressing Large Language Models,AX_q5,AX_q5_15pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on quantization techniques for large language models, which does not meet the inclusion criteria for the review as it does not address the use of small or edge language models in disaster, conflict, or emergency response settings. It also does not provide any information related to the use of such models in the context of the review's title."
S10337,MorphoQuant: Modality-Aware Quantization for Omni-modal Large Language Models,AX_q5,AX_q5_15pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on quantization techniques for large language models and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve small or edge language models, and the context is purely technical with no application to the specified domains."
S11128,Towards Understanding Best Practices for Quantization of Vision-Language Models,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on quantization methods for large language models and vision transformers, which are not directly related to disaster, emergency response, or conflict settings. It does not meet the Axis C requirement."
S10103,EfficientQAT: Efficient Quantization-Aware Training for Large Language Models,AX_q5,AX_q5_15pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on quantization-aware training for large language models, which does not meet the requirement of being centrally set in a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is also not related to small or edge language models for offline emergency guidance."
S6033,SHERLOCK: Towards Dynamic Knowledge Adaptation in LLM-enhanced E-commerce Risk Management,AX_q3|AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on e-commerce risk management, which does not align with the disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis settings required by the review. Additionally, it does not involve small or edge language models, but rather large language models for a different application domain."
S10147,RoSTE: An Efficient Quantization-Aware Supervised Fine-Tuning Approach for Large Language Models,AX_q5,AX_q5_15pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on a method for quantizing large language models, which does not meet the requirement of being centrally set in a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not discuss the use of small or edge language models for offline emergency guidance."
S10427,ProRank: Prompt Warmup via Reinforcement Learning for Small Language Models Reranking,AX_q5,AX_q5_15pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on improving reranking quality using small language models (SLMs) but does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is primarily about computational efficiency and model performance in information retrieval and generation, which does not meet the Axis C requirement."
