stage_id,source,search_id,title,abstract,year,q1_class,q2_arch,q3_domain,e1_nonenglish,e2_doctype,e3_fulltext,e4_largeonly,e5_no_lm,e6_wargame,e7_no_domain,provisional_class,decision_basis,evidence,screener,decision_ts,notes,doi,authors,venue,dedup_status,canonical_stage_id,duplicate_of,ft_retrieval,ft_class,human_rigour_score,human_evaluation_score,human_context_realism_score,human_safety_score,rubric_total
S0002,ieee,IEEE_core|SCOPUS_S2,ResQConnect: Agentic AI for Human-Centered Disaster Response Systems,"Effective disaster response systems are critical for saving lives but are often hindered by fragmented data, inefficient resource coordination, and poor situational awareness, a reality starkly evident in vulnerable, climate-exposed regions like Sri Lanka. To address these critical gaps, we present ResQConnect, an AI-driven, human-centered digital platform designed for intelligent, real-time disaster management. The platform’s core innovation lies in its lightweight, multi-agent architecture that ingests and processes multimodal inputs, including text, voice, and images to deliver a holistic operational view. Specialized agents collaboratively handle intake, triage, knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline, and proximity-aware resource allocation. The entire workflow is governed by a transparent human-in-the-loop governance layer, which requires coordinator approval for AI-generated recommendations, ensuring accountability and human oversight in high-stakes decisions. ResQConnect’s performance was validated through five simulated disaster scenarios of increasing complexity. The system demonstrated robust responsiveness, with request intake averaging 3-4 seconds and more complex task creation averaging 11-13 seconds, handled efficiently by an asynchronous backend. Furthermore, a System Usability Survey (SUS) involving 21 participants yielded a final score of 71.4, indicating “Good” user acceptance and affirming the platform’s intuitive design. By integrating state-of-the-art AI with practical emergency management needs, ResQConnect offers a scalable and effective framework for enhancing coordination and building more resilient communities.",2025,no,yes,yes,0.0,0.0,,0.0,0.0,0.0,0.0,INCLUDE_full_ABC,v2.2 human confirmed include,"q2: 'ResQConnect’s core innovation lies in its lightweight, multi-agent architecture that ingests and processes multimodal inputs, including text, voice, and images to deliver a holistic operational view.'; q3: 'ResQConnect offers a scalable and effective framework for enhancing coordination and building more resilient communities.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T17:23:48,,10.1109/slaai-icai68534.2025.11318466,S. Aththanayake; C. Mallikarachchi; S. Kugarajah; J. Wickramasinghe,2025 9th SLAAI International Conference on Artificial Intelligence (SLAAI-ICAI),canonical,S0002,,retrieved,full_ABC,1.0,2.0,1.0,2.0,6.0
S0054,ieee,IEEE_core|IEEE_supp|SCOPUS_S2,LLM-Enhanced Generative Semantic Communication and DRL Resource Management for UAV-Assisted Emergency Response,"Recent advances in low-altitude networking have enabled uncrewed aerial vehicles (UAVs) to support emergency communications and disaster sensing. However, reliable disaster-image transmission remains challenging due to large image payloads, adverse post-disaster channels, and packet-loss-induced semantic distortion. To address these challenges, we propose a retrieval-augmented generation (RAG) and large language model (LLM)-enhanced generative semantic communication framework (RLE-GSC) for UAV-assisted emergency response. In RLE-GSC, a UAV-side lightweight LLM converts sensed images into low-bit-rate semantic text, while a base-station (BS)-side LLM performs knowledge-grounded correction on corrupted text. A shared disaster-description knowledge base is further introduced via RAG as a common semantic anchor to improve cross-node semantic consistency and robustness against channel impairments. As an image-recovery component, an RAG-driven bi-temporal cross-modal semantic-guided image recovery scheme (RBC-SIR) fuses corrected text with pre-disaster reference images to suppress one-to-many text–image ambiguity and reconstruct disaster imagery. Building on RLE-GSC, we formulate a task-oriented quality-of-experience (QoE) maximization problem for cooperative multi-UAV sensing by jointly optimizing trajectories, transmit power, modulation, and correction-model selection. We then design an LLM-enhanced deep reinforcement learning (LE-DRL) algorithm, where the LLM provides reference decisions and reward shaping to accelerate convergence and improve adaptive resource allocation. Simulation results show that semantic correction and RBC-SIR improve text and image semantic similarity by 10%–25% and 12%–27%, respectively, while LE-DRL achieves up to a 38% QoE gain over representative baselines.",2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,INCLUDE_full_ABC,v2.2 human confirmed include,q1: '...'; q3: '...';,qwen2.5:7b_temp0_schema_v1,2026-09-09T17:28:26,,10.1109/tvt.2026.3717035,Z. Guo; D. Liu; Z. Zhang; Q. Wang; Y. Wang; F. Yin,IEEE Transactions on Vehicular Technology,canonical,S0054,,retrieved,full_ABC,1.0,2.0,1.0,1.0,5.0
S0093,ieee,IEEE_core|IEEE_supp,A multimodal Question Answering system using Language Models for accessing disaster related queries of Assam,"This paper evaluates the feasibility of deploying lightweight multimodal retrieval-augmented generation systems on resource-constrained edge devices for autonomous post-disaster analysis. We construct a specialized multimodal knowledge base from government reports and field imagery to benchmark 5 efficient open-sourced architectures: InternVL-3.5-8B, Gemma-3-4B-IT, Phi-3-Vision, Qwen2-VL-2B, and a ViLT+RoBERTa baseline. The models are evaluated using a set a question that includes both factoid and descriptive type of questions. The experimental results reveal that modern small language models significantly outperform traditional disjoint pipelines the task. The Gemma-3-4B-IT, a light-weight small language model emerged as the optimal architecture, achieving the best balance between high-resolution visual understanding and low-latency inference. It achieved an F1-score of 90.34%, and BLEU, ROUGE-L, BERT Score, SAS and average-latency of 0.34, 0.88, 0.97, 0.17 and 2.24 sec respectively.",2026,yes,no,yes,0.0,0.0,,0.0,0.0,0.0,0.0,INCLUDE_partial_AC,A+C central; architecture not central (borderline),q1: 'lightweight multimodal retrieval-augmented generation systems'; q3: 'post-disaster analysis'.,qwen2.5:7b_temp0_schema_v1,2026-09-09T17:32:07,,10.1109/gcon69192.2026.11648987,P. J. Baruah; V. S. Snehal; T. Borah; A. Paul; M. Bhattacharya; T. D. Singha,2026 IEEE Guwahati Subsection Conference (GCON),canonical,S0093,,retrieved,partial_AC,2.0,2.0,1.0,2.0,7.0
S0460,scopus,SCOPUS_S2,Edge-RAG over Bluetooth Mesh: A Multi-User Retrieval-Augmented LLM with Offline Connectivity for Mobile Chatbots,"Large Language Models (LLMs) have significantly advanced natural language processing; however, their reliance on stable internet connections and high-performance computing resources limits deployment on mobile and low-power platforms. This paper presents Edge-RAG over Bluetooth Mesh, a retrieval-augmented generation framework designed to operate fully offline on mobile devices. Inference tasks are handled by a designated host device, while queries and outputs are exchanged through a modified Bridgefy mesh layer, which was originally created for peer-to-peer communication but adapted here for user-to-LLM interaction. The system incorporates a three-stage RAG training pipeline with FAISS-based dense retrieval to ensure factual grounding and adaptability across domains. Experimental evaluation demonstrates Recall@5 of 0.89, MRR of 0.84, and BERTScore of 0.86, while maintaining end-to-end latency below 2 seconds at five mesh hops. Compared with BM25 and cloud-based inference, the proposed approach achieves competitive accuracy while eliminating reliance on external infrastructure. The contributions of this work lie in (i) extending LLM accessibility to offline, resource-constrained environments, (ii) introducing a privacy-preserving mesh-based interaction layer, and (iii) demonstrating resilience under mobility and multi-user conditions. These findings highlight the feasibility of deploying edge-native LLMs for disaster recovery, secure organizational use, and rural connectivity scenarios.",2026,yes,yes,unsure,0.0,0.0,,0.0,0.0,0.0,,INCLUDE_full_ABC,v2.2 human confirmed include,"q1: 'Edge-RAG over Bluetooth Mesh, a retrieval-augmented generation framework designed to operate fully offline on mobile devices.'; q2: 'Inference tasks are handled by a designated host device, while queries and outputs are exchanged through a modified Bridgefy mesh layer.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T18:09:07,,,"Nikam A., Palwe S., Bartakke S., Shinde O., Yadav A.","Procedia Computer Science , 283",canonical,S0460,,retrieved,full_ABC,2.0,2.0,2.0,1.0,7.0
S0577,openalex,OA_q1|OA_q2,Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization,"This paper investigates the use of SLMs in automated response planning and in real-time communication during disasters in a scenario where there is no extreme bandwidth and communication is scarce. The need to alert the population in the case of a disaster is pointed out. The article establishes the relevance of the topic: the growing frequency and scale of disasters render the speed and reliability of alerting systems critically important, whereas large cloud-hosted LLMs are impractical due to their substantial bandwidth and energy requirements. The objective of this study is to assess the feasibility and operational value of SLMs within post-disaster communication networks and to formulate governance-informed implementation practices for their deployment. The architectural and empirical work on the model and its prototype is the novel aspect of the research. The novelty of this work lies in a systematic comparison of architectures and prototype validation: a review of the literature together with experimental case studies demonstrates the feasibility of local SLM inference (Llama-3 8B, Qwen-2.5 7B) on single-board accelerators (Jetson Orin AGX) with INT4 quantization and parameter-efficient fine-tuning (LoRA/LoRI). The research spans fields such as power and usage latency, document semantic trust normalization, misinformation detection, hybrid BLE–LoRa networking, and Delay-Tolerant Store-and-Forward routing. The assessment indicates that for primary response purposes, SLMs can be used with the level of accuracy needed in the first hour of response at practically zero cost and therefore can be utilized in the first response hour. This logic will prove helpful to AI practitioners solving operational problems in assistance and rescue, architects of emergency communication systems, and disaster planners.",2025,yes,no,yes,0.0,0.0,,0.0,0.0,0.0,0.0,INCLUDE_partial_AC,A+C central; architecture not central (borderline),"q1: 'Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization'; q3: 'the growing frequency and scale of disasters render the speed and reliability of alerting systems critically important, whereas large cloud-hosted LLMs are impractical due to their substantial bandwidth and energy requirements.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T18:19:51,,10.70315/uloap.ulirs.2025.0204012,Vamshi Paili,Universal Library of Innovative Research and Studies,canonical,S0577,,retrieved,partial_AC,1.0,2.0,2.0,1.0,6.0
S0585,openalex,IEEE_core|OA_q1|SCOPUS_S2,Resilient Edge Intelligence: Integrating Swarm Logic with Lightweight Agents and Localised SLMs,"The proliferation of Internet of Things (IoT) devices and the rapid growth of mobile edge computing have fostered a complex ecosystem where computational tasks are executed on devices with unpredictable availability. The intermittent connectivity prevalent in edge locations presents a significant challenge to conventional task scheduling and resource allocation models. This paper introduces a novel paradigm that integrates the Adaptive Swarm for Intermittent Edge Tasks (ASIET) - a bio-inspired swarm intelligence algorithm engineered to adapt dynamically within highly unreliable environments using ultra-lightweight artificial intelligence (AI) agent orchestrators (PicoClaw) and transported Small Language Models (SLMs).Current distributed computing paradigms often struggle with the inherent unpredictability of edge environments. By encapsulating cognitive capabilities within self-transporting, single-binary agents, this architecture helps redefine systemic fault tolerance. The integration of ASIET’s explicit, mathematically defined waiting periods allows the system to autonomously manage transient disconnections, whilst feedback-driven collective learning intelligently informs future task scheduling. This comprehensive study details the theoretical principles of the integrated tripartite system, outlines an empirical simulation leveraging a 1.5B parameter SLM on an ARM-architected edge gateway, and explores practical applications in remote, disaster, and mobile ad hoc environments, demonstrating a fundamentally resilient pathway for autonomous kinetic edge computing.",2026,no,no,yes,0.0,0.0,,0.0,0.0,0.0,0.0,INCLUDE_partial_AC,v2.1 audit rescue (recall),q3: 'demonstrating a fundamentally resilient pathway for autonomous kinetic edge computing.',qwen2.5:7b_temp0_schema_v1,2026-09-09T18:20:22,,10.1109/icaiset66439.2026.11541396,Antony Lees,,canonical,S0585,,retrieved,full_ABC,1.0,1.0,2.0,1.0,5.0
S0610,openalex,AX_q1|AX_q3|AX_q5|OA_q2|OA_q33|OA_q42,EmoMAS: Emotion-Aware Multi-Agent System for High-Stakes Edge-Deployable Negotiation with Bayesian Orchestration,"Large language models (LLMs) has been widely used for automated negotiation, but their high computational cost and privacy risks limit deployment in privacy-sensitive, on-device settings such as mobile assistants or rescue robots. Small language models (SLMs) offer a viable alternative, yet struggle with the complex emotional dynamics of high-stakes negotiation. We introduces EmoMAS, a Bayesian multi-agent framework that transforms emotional decision-making from reactive to strategic. EmoMAS leverages a Bayesian orchestrator to coordinate three specialized agents: game-theoretic, reinforcement learning, and psychological coherence models. The system fuses their real-time insights to optimize emotional state transitions while continuously updating agent reliability based on negotiation feedback. This mixture-of-agents architecture enables online strategy learning without pre-training. We further introduce four high-stakes, edge-deployable negotiation benchmarks across debt, healthcare, emergency response, and educational domains. Through extensive agent-to-agent simulations across all benchmarks, both SLMs and LLMs equipped with EmoMAS consistently surpass all baseline models in negotiation performance while balancing ethical behavior. These results show that strategic emotional intelligence is also the key driver of negotiation success. By treating emotional expression as a strategic variable within a Bayesian multi-agent optimization framework, EmoMAS establishes a new paradigm for effective, private, and adaptive negotiation AI suitable for high-stakes edge deployment.",2026,no,yes,yes,0.0,0.0,,0.0,0.0,0.0,0.0,INCLUDE_full_ABC,v2.2 human confirmed include,"q2: 'Bayesian multi-agent framework that transforms emotional decision-making from reactive to strategic.'; q3: 'emergency response, and educational domains.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T18:22:22,,10.48550/arxiv.2604.07003,Yunbo Long; Yuhan Liu; Liming Xu,arXiv (Cornell University),canonical,S0610,,retrieved,full_ABC,1.0,2.0,1.0,1.0,5.0
S0692,openalex,AX_q1|AX_q3|OA_q23|OA_q24|OA_q28|OA_q29|OA_q31,A Lightweight LLM Framework for Disaster Humanitarian Information Classification,"Timely classification of humanitarian information from social media is critical for effective disaster response. However, deploying large language models (LLMs) for this task faces challenges in resource-constrained emergency settings. This paper develops a lightweight, cost-effective framework for disaster tweet classification using parameter-efficient fine-tuning. We construct a unified experimental corpus by integrating and normalizing the HumAID dataset (76,484 tweets across 19 disaster events) into a dual-task benchmark: humanitarian information categorization and event type identification. Through systematic evaluation of prompting strategies, LoRA fine-tuning, and retrieval-augmented generation (RAG) on Llama 3.1 8B, we demonstrate that: (1) LoRA achieves 79.62% humanitarian classification accuracy (+37.79% over zero-shot) while training only ~2% of parameters; (2) QLoRA enables efficient deployment with 99.4% of LoRA performance at 50% memory cost; (3) contrary to common assumptions, RAG strategies degrade fine-tuned model performance due to label noise from retrieved examples. These findings establish a practical, reproducible pipeline for building reliable crisis intelligence systems with limited computational resources.",2026,yes,no,yes,0.0,0.0,,0.0,0.0,0.0,0.0,INCLUDE_partial_AC,A+C central; architecture not central (borderline),"q1: 'develops a lightweight, cost-effective framework for disaster tweet classification using parameter-efficient fine-tuning.'; q3: 'timely classification of humanitarian information from social media is critical for effective disaster response.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T18:29:25,,10.48550/arxiv.2602.12284,Han Jinzhen; Kim Jisung; Yang Jong Soo; Yun Hong Sik,arXiv (Cornell University),canonical,S0692,,retrieved,full_ABC,2.0,2.0,0.0,1.0,5.0
S1209,openalex,OA_q32,Evaluating the Predictability of Disaster Evacuation Behavior using LLM Agent Simulations,"Large language models (LLMs) have been shown to mimic social behavior by leveraging their rich contextual knowledge, with Park et al. showing that interactions among LLM agents yield emergent dynamics such as information propagation and collective decisionmaking [2]. Motivated by this breakthrough, several works have leveraged LLM agents for human mobility prediction [1, 3, 4]. However, very few works have applied LLM agents to predict human mobility patterns during disaster events, and the extent to which these models can replicate and predict crisis behavior remains unknown and deserves investigation [5]. To address this gap, we simulate evacuation dynamics within disaster scenarios using an LLM-based agent framework and compare predictions against real-world mobility data, enabling a comprehensive evaluation of their capabilities and limitations. To guide our experiments, we ask whether LLM agents with synthetic personas can make realistic evacuation decisions based on pre-disaster mobility and demographic data, and how their predictability can be improved. We also ask whether these agents can meaningfully incorporate sociodemographic context when making decisions, and whether this context improves prediction quality. Finally, we consider whether fine-tuning the LLM produces outputs that align with real-world evacuation behavior.",2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,INCLUDE_partial_AC,v2.1 audit rescue (random_5pct),"q1: 'However, very few works have applied LLM agents to predict human mobility patterns during disaster events, and the extent to which these models can replicate and predict crisis behavior remains unknown and deserves investigation [5].'; q3: 'Finally, we consider whether fine-tuning the LLM produces outputs that align with real-world evacuation behavior.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T19:14:23,,10.1145/3764925.3770907,D. Y. Lee; Jiayi Weng; Vaidehi Raipat; Takahiro Yabe,,canonical,S1209,,retrieved,full_ABC,2.0,2.0,0.0,1.0,5.0
S1411,openalex,AX_q3|OA_q33|OA_q48,Entropy-Constrained Strategy Optimization in Urban Floods: A Multi-Agent Framework with LLM and Knowledge Graph Integration,"In recent years, the increasing frequency of extreme urban rainfall events has posed significant challenges to emergency scheduling systems. Urban flooding often leads to severe traffic congestion and service disruptions, threatening public safety and mobility. However, effective decision making remains hindered by three key challenges: (1) managing trade-offs among competing goals (e.g., traffic flow, task completion, and risk mitigation) requires dynamic, context-aware strategies; (2) rapidly evolving environmental conditions render static rules inadequate; and (3) LLM-generated strategies frequently suffer from semantic instability and execution inconsistency. Existing methods fail to align perception, global optimization, and multi-agent coordination within a unified framework. To tackle these challenges, we introduce H-J, a hierarchical multi-agent framework that integrates knowledge-guided prompting, entropy-constrained generation, and feedback-driven optimization. The framework establishes a closed-loop pipeline spanning from multi-source perception to strategic execution and continuous refinement. We evaluate H-J on real-world urban topology and rainfall data under three representative conditions: extreme rainfall, intermittent bursts, and daily light rain. Experiments show that H-J outperforms rule-based and reinforcement-learning baselines in traffic smoothness, task success rate, and system robustness. These findings highlight the promise of uncertainty-aware, knowledge-constrained LLM-based approaches for enhancing resilience in urban flood response.",2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,INCLUDE_partial_BC_PENDING,v2.2 human confirmed include,"q1: 'LLM-generated strategies frequently suffer from semantic instability and execution inconsistency.'; q3: 'In recent years, the increasing frequency of extreme urban rainfall events has posed significant challenges to emergency scheduling systems.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T19:31:23,,10.48550/arxiv.2508.14654,"Peilin Ji; Xiao Xue; Simeng Wang; Yan, Wenhao",arXiv (Cornell University),canonical,S1411,,retrieved,full_ABC,2.0,2.0,1.0,1.0,6.0
