rigour_score,rigour_ev,evaluation_score,evaluation_ev,context_realism_score,context_realism_ev,safety_score,safety_ev,stage_id,secs,html_source,draft_total,prio,human_rigour_score,human_evaluation_score,human_context_realism_score,human_safety_score,human_notes,human_total
1,"Our system integrates a mobile-friendly optimized pipeline featuring Hybrid RAG, selective compression, batched prompt decoding, and quantization caching.",1,"Despite the model's small size, our RAG-based system achieves 94.5	extbackslash	extbackslash% accuracy for physical first aid and 97.0	extbackslash	extbackslash% for psychological first aid. Additionally, we reduce response time from 14.2s to 3.7s, achieving a nearly 4x speedup.",2,"In disaster scenarios or remote areas, first responders often lose network connectivity when providing first aid. In such situations, server-based AI systems fail to provide critical guidance.",0,,S0582,19.2,1,4,-1,1.0,1.0,2.0,0.0,Confirmed: Genuine offline hardware/simulation test.,4.0
1,"The methodological description is basic, focusing on the theoretical principles and a simulation with a 1.5B parameter SLM on an ARM-architected edge gateway. However, it lacks detailed experimental design or reproducibility steps. [method] nspired swarm intelligence algorithm engineered to adapt dynamically within highly unreliable environments using ultra-lightweight artificial intelligence (AI) agent orchestrators (PicoClaw) and transported Small Language Models (SLMs).",1,"The paper includes a small-scale simulation with a 1.5B parameter SLM on an ARM-architected edge gateway, but it does not provide a comprehensive benchmark or real-world user evaluation with metrics. [eval] the ASIET state machine, and a heavily quantised 1.5B parameter language model (occupying approximately 900MB). To accommodate the memory footprint of the SLM, the target environment was modelled as an industrial edge gateway (simulating an ARM Cortex-A 76 architecture with 4GB RAM) directly interfaced via local serial connection to a legacy industrial sensor array.",2,"The paper TESTS offline/disconnected conditions by simulating a network with 40% packet loss and a 112-second network collapse, demonstrating the system's resilience in unreliable environments. [eval] and the subsequent 112 second network collapse.",1,"The paper mentions limitations and safety risks, such as the potential for infinite wait states and the need for strict authentication protocols to mitigate malicious payload execution. However, it does not comprehensively report all safety risks and limitations. [safety] th the system triggers a 'Resource Investment Triage.' Dormant agents are systematically terminated in ascending order of their completion percentage (D complete /Dtotal ). This ensures that agents with the least invested computational resources are sacrificed first to preserve the operational viability of the host node.",S0585,50.6,0,5,-1,1.0,1.0,2.0,1.0,Confirmed: Genuine offline hardware/simulation test.,5.0
1,Our experiments confirm that low-bit-rate voice can be transmitted over LoRa at distances exceeding one kilometer with acceptable levels of packet loss and bit error rates.,1,Our experiments confirm that low-bit-rate voice can be transmitted over LoRa at distances exceeding one kilometer with acceptable levels of packet loss and bit error rates.,2,"The system operates fully offline and demonstrates the practical integration of edge AI for intelligent, efficient, and human-friendly voice communication.",1,"While larger packet sizes have the potential to enhance voice quality, they come with a significant drawback, as extended transmission times increase the likelihood of packet loss due to interference.",S2418,25.1,0,5,-1,1.0,1.0,2.0,1.0,Confirmed: Genuine offline hardware/simulation test.,5.0
1,"The methodological work involves a review of literature and experimental case studies, but lacks detailed descriptions of the experimental setup and procedures. The paper mentions the use of single-board accelerators (Jetson Orin AGX) and INT4 quantization, but does not provide a clear, reproducible design.",2,"The evaluation includes benchmark results and real-world testing, such as the LIFE-Link experiment demonstrating 99% packet delivery even after simulated total cellular network collapse and loss of external power, indicating a real benchmark/dataset/user evaluation with metrics.",2,"The paper TESTS offline/disconnected conditions, such as the LIFE-Link experiment which simulates total cellular network collapse and loss of external power, validating the architecture’s operability under realistic infrastructure collapse conditions.",1,"The paper mentions limitations and risks, such as the potential for hallucinations and incorrect decision-making due to incomplete contextual information, but does not provide a comprehensive report on safety risks and limitations.",S0577,35.0,0,6,-1,1.0,2.0,2.0,1.0,Confirmed: Genuine offline hardware/simulation test.,6.0
1,"The methodological description is basic, detailing a multi-agent architecture and human-in-the-loop governance layer, but lacks detailed steps or reproducibility information.",1,"The evaluation includes small-scale simulated disaster scenarios, demonstrating improvements in triage accuracy, response latency, and resource utilization compared to manual baselines.",1,"The paper discusses offline conditions as a motivation, noting the importance of offline functionality in disaster scenarios, but does not TEST or SIMULATE offline conditions.",1,"The paper mentions limitations and discusses the importance of human oversight and ethical guardrails, but does not report specific safety risks or limitations in detail.",S0002,56.0,0,4,0,1.0,2.0,1.0,2.0,Bump Eval (SUS scores in results) and Safety (HITL governance layer).,6.0
1,"The abstract mentions the introduction of EmoMAS, a Bayesian multi-agent framework, but does not provide detailed methodological steps or design specifics.",1,"The paper introduces four high-stakes, edge-deployable negotiation benchmarks and mentions extensive agent-to-agent simulations, but does not provide detailed metrics or real-world benchmark evaluations.",1,"The abstract discusses the deployment of EmoMAS in privacy-sensitive, on-device settings such as mobile assistants or rescue robots, but does not provide evidence of testing or simulating offline/disconnected conditions.",1,"The abstract mentions balancing ethical behavior and treating emotional expression as a strategic variable, but does not provide a detailed report on safety risks or limitations.",S0610,20.9,1,4,0,1.0,2.0,1.0,1.0,Bump Eval (Formal benchmarking against baselines),5.0
1,"The paper describes the methodological approach, including the use of Light RAG with LLM, few-shot prompting, and chain-of-thought fine-tuning. However, the description is basic and lacks detailed experimental design or reproducibility steps. [method] section: 'The architecture utilizes Light RAG, as shown in Fig.1, an improved retrieval-enhanced generation framework that integrates graph structures with text indexing to overcome the limitations of traditional RAG systems.'",1,"The paper includes small-scale experimental results comparing different models on BLEU, ROUGE-2, and BERT-Score metrics, but does not provide a comprehensive benchmark or large-scale user evaluation. [eval] section: 'The experimental results in Table 1 demonstrate the performance of various models on BLEU, ROUGE-2, and BERT-Score metrics.'",1,"The paper discusses the importance of regional-specific knowledge and offline conditions but does not test or simulate these conditions. [offline] section: 'However, decision-making in natural disaster area presents unique challenges that extend beyond the inherent capabilities of LLM. An effective disaster response often relies heavily on regional-specific emergency guidelines, regulatory frameworks, and localized knowledge, which are not always encoded within the parameters of an LLM.'",1,"The paper mentions limitations and discusses the need for domain-specific knowledge but does not report specific safety risks or limitations in detail. [safety] section: 'Existing RAG systems have notable limitations. They rely on flat data representations and lack sufficient contextual awareness, resulting in fragmented answers that miss complex inter-dependencies.'",S0743,47.1,0,4,0,1.0,2.0,1.0,0.0,Generic claims. Fails to reach 5.,4.0
1,"The paper describes a hierarchical multimodal RAG framework but lacks detailed methodological steps or reproducibility details. The framework is outlined, but specific experimental procedures are not provided.",1,"The paper mentions experiments demonstrating improvements in retrieval precision, situational grounding, and task decomposition, but does not provide comprehensive benchmark details or metrics.",1,"The paper discusses the fragmented, multimodal nature of disaster data and the need for offline/disconnected support but does not TEST or SIMULATE offline conditions.",1,The paper mentions limitations and the need for adaptive reasoning capabilities but does not report specific safety risks or limitations in detail.,S3110,28.2,0,4,0,2.0,2.0,1.0,1.0,Bump Rigour (explicit alpha=0.7 config/ColVBERT) and Eval (baseline comparisons).,6.0
1,"The methodological description is basic, detailing a hierarchical multi-agent architecture for onboard EO processing under strict resource and bandwidth constraints. However, the description lacks detailed steps or reproducibility information beyond the conceptual framework.",1,"The evaluation is a small-scale test using a proof-of-concept implementation on an edge-computing platform deployed in orbit, with experiments on wildfire and flood monitoring scenarios. This is a controlled multi-agent demonstrator but does not involve a large-scale benchmark or dataset.",1,"The paper discusses offline and disconnected conditions as a motivation for the architecture, emphasizing the need for onboard processing due to downlink limitations and computational constraints. However, it does not TEST or SIMULATE offline/disconnected conditions.",1,"The paper mentions limitations related to onboard resource constraints and the need for a hierarchical distributed architecture to address these issues. However, it does not report specific safety risks or limitations in detail.",S4299,32.2,0,4,0,2.0,2.0,1.0,1.0,Bump Rigour (4-bit quantization on explicit edge hardware) and Eval (ablation testing on execution time).,6.0
1,"The method section describes the system's functionality and data ingestion pipeline, but lacks detailed experimental design or reproducibility steps. For example, the method mentions 'The system applies an Hourly Wildfire Potential (HWP) wind-adjustment layer that t', but does not provide a full experimental design or reproducibility details.",1,"The paper mentions 'The results below are qualitative observations of the end-to-end system behaviors, focused on the four properties we set out to deliver, including automatic language detection without configuration, polygon-avoidant routing under realistic fire perimeters, context-aware conversation, and graceful degradation when one or more inputs are unavailable.' This indicates a small-scale or demo-scale test, but not a full benchmark or dataset evaluation.",1,"The paper discusses offline/disconnected conditions as a motivation, stating 'The route is computed as a multi-stop path to a shelter where it has the shortest Wand does not passA.' However, it does not provide a test or simulation of offline conditions.",1,"The paper mentions safety risks and limitations, such as 'While the user sees the route, it is hard to know whether the route crosses a safe area during emergencies.' It also discusses limitations of existing GPS applications, but does not provide a comprehensive safety risk assessment or detailed limitations.",S6072,30.8,0,4,0,1.0,1.0,0.0,2.0,Context drops to 0 (Google Cloud Run/GPT dependency),4.0
2,"This work proposes a novel monotonic evaluation framework that measures whether increases in a predicted risk score consistently correspond to increases in observed operational load, such as number of fires, intervention time, and deployed resources.",2,"Experimental results reveal that the DFE, despite poor classification metrics, exhibits the most balanced monotonic behavior across the full risk scale. GRU models achieve strong local monotonicity but fail to produce well-distributed risk levels. FARS inherits and reveals the structural limitations of upstream signals rather than correcting them.",0,No specific mention of offline or disconnected conditions being tested or simulated.,1,"We acknowledge that training diagnostics on the same dataset as evaluation introduces a potential information leakage risk. However, we ensured that (1) diagnostic agents never access ground-truth values, (2) no date-specific information is used in agent prompts, and (3) the final classifier operates solely on aggregated diagnostic outputs.",S0043,34.5,0,5,0,0.0,0.0,0.0,0.0,"OUT:E4 (V4 provenance): FARS LLM reasoning uses API large model (GPT-4/5); no small/local evidence in full text; paired=yes was DFE/GRU comparison, not smaller-model. Scores voided: eligibility recode overrides quality.",5.0
2,"Through systematic evaluation of prompting strategies, LoRA fine-tuning, and retrieval-augmented generation (RAG) on Llama 3.1 8B, we demonstrate that: (1) LoRA achieves 79.62% humanitarian classification accuracy (+37.79% over zero-shot) while training only ~2% of parameters; (2) QLoRA enables efficient deployment with 99.4% of LoRA performance at 50% memory cost; (3) contrary to common assumptions, RAG strategies degrade fine-tuned model performance due to label noise from retrieved examples.",2,"Through systematic evaluation of prompting strategies, LoRA fine-tuning, and retrieval-augmented generation (RAG) on Llama 3.1 8B, we demonstrate that: (1) LoRA achieves 79.62% humanitarian classification accuracy (+37.79% over zero-shot) while training only ~2% of parameters; (2) QLoRA enables efficient deployment with 99.4% of LoRA performance at 50% memory cost; (3) contrary to common assumptions, RAG strategies degrade fine-tuned model performance due to label noise from retrieved examples.",0,None of the provided extracts mention any testing or simulation of offline or disconnected conditions.,1,"The paper mentions limitations in the evaluation of RAG strategies, noting that they degrade model performance due to label noise from retrieved examples.",S0692,32.1,1,5,0,2.0,2.0,0.0,1.0,Passed through from draft.,5.0
