stage_id,h2_q1,h2_q1_ev,h2_q2,h2_q2_ev,h2_q3,h2_q3_ev,q1_agree,q2_agree,q3_agree,pass2_used,h2_status
S0002,yes,knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline,yes,"lightweight, multi-agent architecture",yes,"AI-driven, human-centered digital platform designed for intelligent, real-time disaster management",True,True,True,True,RESOLVED
S0054,yes,LLM-enhanced generative semantic communication framework for UAV-assisted emergency response,yes,retrieval-augmented generation (RAG) and large language model (LLM)-enhanced generative semantic communication framework,yes,LLM-enhanced generative semantic communication and DRL resource management for UAV-assisted emergency response,True,True,True,True,RESOLVED
S0092,yes,"Recently, large language model (LLM) and multi-modal large models (MMLM) have demonstrated strong zero-shot and few-shot detection capabilities.",unsure,,unsure,,,,,False,STILL_UNSURE
S0309,yes,While Large Language Models (LLMs) excel in natural language tasks,yes,we propose the Multi-Agent Collaborative Framework (MA-CF),unsure,,,,,False,STILL_UNSURE
S0335,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S0353,yes,LLM-guided multi-agent platform for coordinating evacuations during wildfires,yes,LLM-guided multi-agent platform for coordinating evacuations during wildfires,yes,coordinating evacuations during wildfires,True,True,True,True,RESOLVED
S0460,yes,Large Language Models (LLMs) have significantly advanced natural language processing,yes,"Edge-RAG over Bluetooth Mesh, a retrieval-augmented generation framework",unsure,"deploying edge-native LLMs for disaster recovery, secure organizational use, and rural connectivity scenarios",,,,False,STILL_UNSURE
S0477,yes,LLM-as-a-Judge scoring,yes,self-organizing RAG architecture,yes,disaster medicine requires rapid access to a hierarchical corpus of normative documents,True,True,True,True,RESOLVED
S0495,yes,"To solve such a problem, existing approaches usually only keep the most frequently mentioned knowledge from these documents",yes,BordaRAG: Resolving Knowledge Conflict in Retrieval-Augmented Generation via Borda Voting Process,unsure,,,,,False,STILL_UNSURE
S0530,yes,knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline,yes,"lightweight, multi-agent architecture",yes,"AI-driven, human-centered digital platform designed for intelligent, real-time disaster management",True,True,True,True,RESOLVED
S0533,yes,The system utilizes Retrieval-Augmented Generation (RAG) technology and a large-scale language model (LLM).,yes,The system utilizes Retrieval-Augmented Generation (RAG) technology and consists of two types of chatbots.,yes,disaster response knowledge-sharing system for local governments,True,True,True,True,RESOLVED
S0575,yes,GPT-4o-mini achieves the highest average macro F1 score (0.77) using just five labelled examples per class,no,,yes,efficiently identifying relevant content remains a challenge due to the reliance on large labelled datasets and high computational costs during natural disasters,True,True,True,True,RESOLVED
S0578,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S0580,unsure,,unsure,,yes,Enhance Information Coordination in Disaster Relief Operations,,,,False,STILL_UNSURE
S0587,unsure,,unsure,,unsure,,,,,False,STILL_UNSURE
S0610,yes,Large language models (LLMs) has been widely used for automated negotiation,yes,"EmoMAS, a Bayesian multi-agent framework that transforms emotional decision-making from reactive to strategic",yes,emergency response,True,True,True,True,RESOLVED
S0611,yes,Large language models (LLMs) have been widely used for automated negotiation,yes,"We introduce EmoMAS, a Bayesian multi-agent framework that transforms emotional decision-making from reactive to strategic",yes,emergency response,True,True,True,True,RESOLVED
