ft_A,ft_A_ev,ft_B,ft_B_ev,ft_C,ft_C_ev,model_params,params_ev,paired_comparison,paired_ev,suggested_e,stage_id,secs,html_source
yes,"The platform’s core innovation lies in its lightweight, multi-agent architecture that ingests and processes multimodal inputs, including text, voice, and images to deliver a holistic operational view. Specialized agents collaboratively handle intake, triage, knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline, and proximity-aware resource allocation.",yes,"The platform’s core innovation lies in its lightweight, multi-agent architecture that ingests and processes multimodal inputs, including text, voice, and images to deliver a holistic operational view. Specialized agents collaboratively handle intake, triage, knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline, and proximity-aware resource allocation.",yes,"Effective disaster response systems are critical for saving lives but are often hindered by fragmented data, inefficient resource coordination, and poor situational awareness, a reality starkly evident in vulnerable, climate-exposed regions like Sri Lanka.",unknown,"Agent logic integrates both commercial models like LLaMA-3.3-70B(Groq) [16] and Meta LLaMA- 4-Scout-17B [17] for complex tasks, and open-source models like Gemma-2-9B [18] for non-critical functions such as chat- bot summarization.",no,,none,S0002,52.7,0
no,"Unlike traditional methods, our approach integrates Retrieval-Augmented Generation (RAG) to enhance the accuracy and relevance of the generated outputs by referencing a fact-checked knowledge base before responding.",yes,"Unlike traditional methods, our approach integrates Retrieval-Augmented Generation (RAG) to enhance the accuracy and relevance of the generated outputs by referencing a fact-checked knowledge base before responding.",yes,"This paper presents a Proof of Concept (PoC) platform that leverages a Large Language Model (LLM) to process and deliver both static and real-time, country-specific information aimed at educating the public and generating targeted weather alerts.",unknown,,no,,E4,S0005,11.8,0
yes,"We propose an LLM-guided Multi-Agent Proximal Policy Optimization (LLM-MAPPO) algorithm, which leverages LLMs’ reasoning capabilities to guide MARL policy learning and plans multi-UAV trajectories for efficient dynamic target search.",yes,"We propose an LLM-guided Multi-Agent Proximal Policy Optimization (LLM-MAPPO) algorithm, which leverages LLMs’ reasoning capabilities to guide MARL policy learning and plans multi-UAV trajectories for efficient dynamic target search.",yes,"This paper investigates multi-UA V cooperative trajectory planning for dynamic target search in a three-dimensional environment with static obstacles, aiming to maximize the number of searched targets and minimize the average uncertainty of the search area, while ensuring collision avoidance between UA Vs and obstacles.",7B,We employ DeepSeek-R1-7B as the LLM component of the proposed LLM-MAPPO algorithm.,yes,"Experimental results demonstrate that LLM-MAPPO significantly outperforms compared algorithms in terms of the number of searched targets and average area uncertainty, while successfully avoiding collisions.",none,S0029,17.9,0
yes,"FARS, a hybrid multi-agent system combining predictive AI with LLM-based reasoning.",yes,"FARS, a hybrid multi-agent system combining predictive AI with LLM-based reasoning.",yes,A Monotonic Framework for Evaluating Wildfire Operational Risk Signals,unknown,"FARS uses the GPT-4.1 model from OpenAI (GPT-5.2 for the classifier), with a maximum context length of 4,000 tokens (and 20 tokens for the classifier) and a temperature parameter set to 1.0.",yes,"Moreover, we compare three structurally different approaches on the French Alpes-Maritimes department: the expert-based DFE index, GRU-based predictive models, and FARS, a hybrid multi-agent system combining predictive AI with LLM-based reasoning.",none,S0043,16.3,0
yes,"In RLE-GSC, a UAV-side lightweight LLM converts sensed images into low-bit-rate semantic text, while a base-station (BS)-side LLM performs knowledge-grounded correction on corrupted text.",yes,"We then design an LLM-enhanced deep reinforcement learning (LE-DRL) algorithm, where the LLM provides reference decisions and reward shaping to accelerate convergence and improve adaptive resource allocation.",yes,Recent advances in low-altitude networking have enabled uncrewed aerial vehicles (UAVs) to support emergency communications and disaster sensing.,unknown,"Considering the limited computational resources of UAVs, the UAV-side lightweight LLM is instantiated by a BLIP model for image-to-text conversion in the simulations, achieving an inference latency of 100 ms per image on an edge GPU.",no,,none,S0054,17.3,0
yes,"The Gemma-3-4B-IT, a light-weight small language model emerged as the optimal architecture, achieving the best balance between high-resolution visual understanding and low-latency inference.",no,,yes,This paper evaluates the feasibility of deploying lightweight multimodal retrieval-augmented generation systems on resource-constrained edge devices for autonomous post-disaster analysis.,3-4B,"Gemma -3-4B-IT, a light-weight small language model",no,,none,S0093,13.4,0
yes,"The assistant guides the user with follow-up questions about health status, number of affected people, structural damage, environmental hazards, and known nearby landmarks to complete missing information. The system manages the dialogue with a finite state machine",yes,"The system manages the dialogue with a finite state machine, determines the location by linking user cues to a local GeoJSON point-of-interest database and by landmark verification, and produces explainable risk scores with Multi-Criteria Decision Analysis",yes,This paper presents a modular decision support system that infers the primary location of the user or the reported incident and a situation-aware risk level from multi-turn Turkish disaster dialogues between a help-seeking user and an AI-supported emergency assistant,unknown,Keywords— disaster management; location inference; toponym resolution; geographic information systems; Multi-Criteria Decision Analysis; Large Language Model,no,,none,S0097,18.0,0
no,"Active retrieval-augmented generation (RAG) triggers external knowledge retrieval during generation based on model-side uncertainty signals to support knowledge-intensive, multi-hop reasoning.",no,"Active retrieval-augmented generation (RAG) triggers external knowledge retrieval during generation based on model-side uncertainty signals to support knowledge-intensive, multi-hop reasoning.",no,"We evaluate on 2WikiMultihopQA [3] and HotpotQA [17], two multi-hop QA benchmarks in which each question requires combining evidence from at least two Wikipedia articles and is accompanied by annotated reasoning paths.",7B,"Unless otherwise stated, all methods use the same Llama2-7b-chat backbone without any additional fine-tuning;",yes,We compare CFU-RAG against several RAG variants implemented under a unified framework.wo-RAG is vanilla Llama2-7b-chat used without any retrieval.,E7,S0363,18.0,0
yes,"Inference tasks are handled by a designated host device, while queries and outputs are exchanged through a modified Bridgefy mesh layer, which was originally created for peer-to-peer communication but adapted here for user-to-LLM interaction.",yes,"Inference tasks are handled by a designated host device, while queries and outputs are exchanged through a modified Bridgefy mesh layer, which was originally created for peer-to-peer communication but adapted here for user-to-LLM interaction.",yes,"These findings highlight the feasibility of deploying edge-native LLMs for disaster recovery, secure organizational use, and rural connectivity scenarios.",unknown,The model parameters are not explicitly stated in the provided text.,no,"While these contributions substantially advance edge-adapted RAG and LLM deployment, most approaches continue to assume either stable connectivity to edge servers or sufficient local compute capacity on user devices.",none,S0460,17.4,0
no,"We used this prompting technique with a total of eight state-of-the-art SLMs: GPT-4o-mini, Llama3.2 3B, Llama3.1 8B, Mistral 7B, Gemma2 9B and 2B, Phi3-mini and Qwen2.5 7B. Each can effectively be run on a local computer or, in the case of GPT-4o-mini, offers a highly cost-efficient API at 0.15$ per million input tokens and 0.60$ per million output tokens (as of February 2025).",no,none,yes,"Social media can provide real-time insights during natural disasters, yet efficiently identifying relevant content remains a challenge due to the reliance on large labelled datasets and high computational costs. This study therefore investigates the potential of Few-Shot Learning (FSL) for relevance classification of textual social media posts during disasters.",7B,"Mistral 7B, Gemma2 9B and 2B, Phi3-mini and Qwen2.5 7B. Each can effectively be run on a local computer or, in the case of GPT-4o-mini, offers a highly cost-efficient API at 0.15$ per million input tokens and 0.60$ per million output tokens (as of February 2025).",no,none,none,S0575,25.7,0
