stage_id,title,provisional_class,ft_A,ft_A_ev,ft_B,ft_B_ev,ft_C,ft_C_ev,model_params,paired_comparison,paired_ev,suggested_e,A_ok,C_ok,ft_suggested,human_class,human_e4_decision,human_notes
S0002,ResQConnect: Agentic AI for Human-Centered Disaster Response Systems,INCLUDE_full_ABC,yes,"The platform’s core innovation lies in its lightweight, multi-agent architecture that ingests and processes multimodal inputs, including text, voice, and images to deliver a holistic operational view. Specialized agents collaboratively handle intake, triage, knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline, and proximity-aware resource allocation.",yes,"The platform’s core innovation lies in its lightweight, multi-agent architecture that ingests and processes multimodal inputs, including text, voice, and images to deliver a holistic operational view. Specialized agents collaboratively handle intake, triage, knowledge retrieval using a Retrieval-Augmented Generation (RAG) pipeline, and proximity-aware resource allocation.",yes,"Effective disaster response systems are critical for saving lives but are often hindered by fragmented data, inefficient resource coordination, and poor situational awareness, a reality starkly evident in vulnerable, climate-exposed regions like Sri Lanka.",unknown,no,,none,True,True,full_ABC,full_ABC,,kept at full text: small/local model claim verified in PDF (record the exact sentence/page here)
S0005,A LLM-Based Platform for Flood Risk Education and Weather Alerts in SIDS,INCLUDE_partial_AC,no,"Unlike traditional methods, our approach integrates Retrieval-Augmented Generation (RAG) to enhance the accuracy and relevance of the generated outputs by referencing a fact-checked knowledge base before responding.",yes,"Unlike traditional methods, our approach integrates Retrieval-Augmented Generation (RAG) to enhance the accuracy and relevance of the generated outputs by referencing a fact-checked knowledge base before responding.",yes,"This paper presents a Proof of Concept (PoC) platform that leverages a Large Language Model (LLM) to process and deliver both static and real-time, country-specific information aimed at educating the public and generating targeted weather alerts.",unknown,no,,E4,True,True,BC_PENDING_E4,OUT:E4,fail,
S0029,Multi-UAV Trajectory Planning for Dynamic Target Search: An LLM-Enhanced Multi-Agent Reinforcement Learning Algorithm,INCLUDE_partial_BC_PENDING,yes,"We propose an LLM-guided Multi-Agent Proximal Policy Optimization (LLM-MAPPO) algorithm, which leverages LLMs’ reasoning capabilities to guide MARL policy learning and plans multi-UAV trajectories for efficient dynamic target search.",yes,"We propose an LLM-guided Multi-Agent Proximal Policy Optimization (LLM-MAPPO) algorithm, which leverages LLMs’ reasoning capabilities to guide MARL policy learning and plans multi-UAV trajectories for efficient dynamic target search.",yes,"This paper investigates multi-UA V cooperative trajectory planning for dynamic target search in a three-dimensional environment with static obstacles, aiming to maximize the number of searched targets and minimize the average uncertainty of the search area, while ensuring collision avoidance between UA Vs and obstacles.",7B,yes,"Experimental results demonstrate that LLM-MAPPO significantly outperforms compared algorithms in terms of the number of searched targets and average area uncertainty, while successfully avoiding collisions.",none,True,True,full_ABC,full_ABC,,
S0043,Risk Is Not the Target: A Monotonic Framework for Evaluating Wildfire Operational Risk Signals,INCLUDE_partial_AC,yes,"FARS, a hybrid multi-agent system combining predictive AI with LLM-based reasoning.",yes,"FARS, a hybrid multi-agent system combining predictive AI with LLM-based reasoning.",yes,A Monotonic Framework for Evaluating Wildfire Operational Risk Signals,unknown,yes,"Moreover, we compare three structurally different approaches on the French Alpes-Maritimes department: the expert-based DFE index, GRU-based predictive models, and FARS, a hybrid multi-agent system combining predictive AI with LLM-based reasoning.",none,True,True,full_ABC,full_ABC,,
S0054,LLM-Enhanced Generative Semantic Communication and DRL Resource Management for UAV-Assisted Emergency Response,INCLUDE_full_ABC,yes,"In RLE-GSC, a UAV-side lightweight LLM converts sensed images into low-bit-rate semantic text, while a base-station (BS)-side LLM performs knowledge-grounded correction on corrupted text.",yes,"We then design an LLM-enhanced deep reinforcement learning (LE-DRL) algorithm, where the LLM provides reference decisions and reward shaping to accelerate convergence and improve adaptive resource allocation.",yes,Recent advances in low-altitude networking have enabled uncrewed aerial vehicles (UAVs) to support emergency communications and disaster sensing.,unknown,no,,none,True,True,full_ABC,full_ABC,,
S0093,A multimodal Question Answering system using Language Models for accessing disaster related queries of Assam,INCLUDE_partial_AC,yes,"The Gemma-3-4B-IT, a light-weight small language model emerged as the optimal architecture, achieving the best balance between high-resolution visual understanding and low-latency inference.",no,,yes,This paper evaluates the feasibility of deploying lightweight multimodal retrieval-augmented generation systems on resource-constrained edge devices for autonomous post-disaster analysis.,3-4B,no,,none,True,True,partial_AC,partial_AC,,
S0097,Artificial Intelligence for Multi-Hazard Disaster Preparedness and Response,INCLUDE_partial_AC,yes,"The assistant guides the user with follow-up questions about health status, number of affected people, structural damage, environmental hazards, and known nearby landmarks to complete missing information. The system manages the dialogue with a finite state machine",yes,"The system manages the dialogue with a finite state machine, determines the location by linking user cues to a local GeoJSON point-of-interest database and by landmark verification, and produces explainable risk scores with Multi-Criteria Decision Analysis",yes,This paper presents a modular decision support system that infers the primary location of the user or the reported incident and a situation-aware risk level from multi-turn Turkish disaster dialogues between a help-seeking user and an AI-supported emergency assistant,unknown,no,,none,True,True,full_ABC,full_ABC,,
S0363,Active Retrieval-Augmented Generation with Conflict-Fused Uncertainty Quantification,INCLUDE_partial_BC_PENDING,no,"Active retrieval-augmented generation (RAG) triggers external knowledge retrieval during generation based on model-side uncertainty signals to support knowledge-intensive, multi-hop reasoning.",no,"Active retrieval-augmented generation (RAG) triggers external knowledge retrieval during generation based on model-side uncertainty signals to support knowledge-intensive, multi-hop reasoning.",no,"We evaluate on 2WikiMultihopQA [3] and HotpotQA [17], two multi-hop QA benchmarks in which each question requires combining evidence from at least two Wikipedia articles and is accompanied by annotated reasoning paths.",7B,yes,We compare CFU-RAG against several RAG variants implemented under a unified framework.wo-RAG is vanilla Llama2-7b-chat used without any retrieval.,E7,True,True,AUTO_OUT_FT:E7,OUT:E7,,
S0460,Edge-RAG over Bluetooth Mesh: A Multi-User Retrieval-Augmented LLM with Offline Connectivity for Mobile Chatbots,INCLUDE_full_ABC,yes,"Inference tasks are handled by a designated host device, while queries and outputs are exchanged through a modified Bridgefy mesh layer, which was originally created for peer-to-peer communication but adapted here for user-to-LLM interaction.",yes,"Inference tasks are handled by a designated host device, while queries and outputs are exchanged through a modified Bridgefy mesh layer, which was originally created for peer-to-peer communication but adapted here for user-to-LLM interaction.",yes,"These findings highlight the feasibility of deploying edge-native LLMs for disaster recovery, secure organizational use, and rural connectivity scenarios.",unknown,no,"While these contributions substantially advance edge-adapted RAG and LLM deployment, most approaches continue to assume either stable connectivity to edge servers or sufficient local compute capacity on user devices.",none,True,True,full_ABC,full_ABC,,
S0575,Few-Shot Learning for Relevance Classification of Textual Social Media Posts in Disaster Response,INCLUDE_partial_AC,no,"We used this prompting technique with a total of eight state-of-the-art SLMs: GPT-4o-mini, Llama3.2 3B, Llama3.1 8B, Mistral 7B, Gemma2 9B and 2B, Phi3-mini and Qwen2.5 7B. Each can effectively be run on a local computer or, in the case of GPT-4o-mini, offers a highly cost-efficient API at 0.15$ per million input tokens and 0.60$ per million output tokens (as of February 2025).",no,none,yes,"Social media can provide real-time insights during natural disasters, yet efficiently identifying relevant content remains a challenge due to the reliance on large labelled datasets and high computational costs. This study therefore investigates the potential of Few-Shot Learning (FSL) for relevance classification of textual social media posts during disasters.",7B,no,none,none,True,True,HUMAN_REVIEW_ft,OUT:E5,,
