stage_id,dedup_status,canonical_stage_id,title,year,venue,doi,search_id,provisional_class,evidence,human_verdict,notes
S0041,canonical,S0041,Dual-stage and Lightweight Patient Chart Summarization for Emergency Physicians,2025,2025 IEEE Annual Congress on Artificial Intelligence of Things (AIoT),10.1109/aiot66900.2025.00018,AX_q1|IEEE_core|IEEE_supp|OA_q2,INCLUDE_partial_AC,"q1: 'a dual-device architecture first retrieves relevant patient record sections using the Jetson Nano-R (Retrieve), then generates a structured summary on another Jetson Nano-S (Summarize), communicating via a lightweight socket link.'; q3: 'The summarization output is two-fold: (1) a fixed-format list of critical findings, and (2) a context-specific narrative focused on the clinician’s query.'",wrong_include,"[Consensus] The paper focuses on EHR summarization for emergency physicians, which does not align with the disaster, emergency response, mass casualty, or civilian conflict settings specified in Axis C."
S0093,canonical,S0093,A multimodal Question Answering system using Language Models for accessing disaster related queries of Assam,2026,2026 IEEE Guwahati Subsection Conference (GCON),10.1109/gcon69192.2026.11648987,IEEE_core|IEEE_supp,INCLUDE_partial_AC,q1: 'lightweight multimodal retrieval-augmented generation systems'; q3: 'post-disaster analysis'.,confirmed,"[Consensus] The paper evaluates small language models (Gemma-3-4B-IT) for disaster-related queries, fitting both Axis A and Axis C. The abstract does not provide information on the architecture, but the context of disaster response aligns with the review's domain."
S0380,duplicate_noncanonical,S0576,CoSV: A Chain of Structured Verification for Disaster Information Extraction Using Small Language Models,2026,Proceedings of the IEEE International Conference on AI Engineering and Innovations Aiei 2026,,SCOPUS_S2,INCLUDE_partial_AC,q1: 'Small Language Models (SLMs) are more efficient but struggle to extract reliable and consistent structured information.'; q3: 'disaster related news articles within 2010 to 2024.',confirmed,"[Consensus] The paper focuses on Small Language Models (SLMs) and discusses their application in the disaster domain, aligning with both Axis A and Axis C. The abstract mentions the use of RAG, which aligns with Axis B, though this is not explicitly stated in the title."
S0447,canonical,S0447,ResQConnect: An AI-Powered Multi-Agentic Platform for Human-Centered and Resilient Disaster Response,2026,"Sustainability Switzerland , 18(2), 1014",,SCOPUS_S2,INCLUDE_full_ABC,"q1: 'deployed a compressed, domain-specific language model on mobile devices'; q3: 'ResQConnect is validated using real-world flood and landslide disaster datasets'",confirmed,"[Consensus] The abstract confirms the use of a small language model (compressed, domain-specific) for offline guidance, which aligns with Axis A. It also discusses disaster scenarios (flood and landslide), which aligns with Axis C."
S0576,canonical,S0576,CoSV: A Chain of Structured Verification for Disaster Information Extraction Using Small Language Models,2026,,10.1109/aiei69164.2026.11496917,IEEE_core|IEEE_supp|OA_q1|OA_q41|OA_q46|OA_q47|SCOPUS_S2,INCLUDE_partial_AC,q1: 'Small Language Models (SLMs) are more efficient but struggle to extract reliable and consistent structured information.'; q3: 'disaster related news articles within 2010 to 2024.',wrong_include,auto_correction: duplicate title of existing confirmed paper
S0577,canonical,S0577,Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization,2025,Universal Library of Innovative Research and Studies,10.70315/uloap.ulirs.2025.0204012,OA_q1|OA_q2,INCLUDE_partial_AC,"q1: 'Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization'; q3: 'the growing frequency and scale of disasters render the speed and reliability of alerting systems critically important, whereas large cloud-hosted LLMs are impractical due to their substantial bandwidth and energy requirements.'",confirmed,"[Consensus] The abstract clearly indicates the focus on small language models (SLMs) for disaster communication and response, which aligns with Axis A. It also mentions the context of disasters, which aligns with Axis C. While the architecture details are not explicitly stated, the focus on SLMs and disaster scenarios is sufficient for inclusion."
S0582,canonical,S0582,Pocket RAG: On-Device RAG for First Aid Guidance in Offline Mobile Environment,2026,arXiv (Cornell University),10.48550/arxiv.2602.13229,AX_q1|AX_q3|OA_q1,INCLUDE_full_ABC,"q1: 'lightweight, mobile-based retrieval-augmented generation system for small language models (SLMs)'; q3: 'first aid guidance in disaster scenarios or remote areas'",confirmed,[Consensus] The paper focuses on a small language model (SLM) for an emergency response domain (first aid guidance in disaster scenarios). It also discusses RAG architecture.
S0584,canonical,S0584,Offline Emergency Alerts Using Compressed Broadcast Codes and On-Device AI,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.21357525,OA_q1|OA_q2,INCLUDE_partial_AC,"q1: 'an on-device Small Language Model (SLM)'; q3: 'emergency alert systems during disasters'; q3: 'evacuation route, and error-checking information'.",confirmed,"[Consensus] The paper discusses a small language model (SLM) for generating personalized emergency messages in disaster settings, which aligns with both Axis A (small model) and Axis C (disaster domain)."
S0592,canonical,S0592,Performance and safety of a fine-tuned small language model for pediatric emergency triage: A benchmark study,2026,PLoS ONE,10.1371/journal.pone.0350770,OA_q2,INCLUDE_partial_AC,"q1: 'Qwen3-8B-Base was fine-tuned with Low-Rank Adaptation and Group Relative Policy Optimization'; q3: 'In this real-world pediatric benchmark, the fine-tuned language model did not surpass the structured-data comparator in overall performance but showed a distinct safety-oriented error profile.'",wrong_include,"[Consensus] The paper focuses on a fine-tuned small language model for pediatric emergency triage, which does not align with the disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian settings specified in Axis C."
S0593,canonical,S0593,Locally Deployable Small Language Models for Emergency Department Decision Support: A Systematic Benchmark of Fine-Tuning Strategies,2026,arXiv (Cornell University),10.48550/arxiv.2608.10273,AX_q1|AX_q5|OA_q2|OA_q42,INCLUDE_partial_AC,"q1: 'benchmarking eight open-source SLMs'; q3: 'triage level prediction, specialist referral recommendation, and diagnosis prediction'",wrong_include,"[Consensus] The paper focuses on large language models (LLMs) and does not include any direct comparison with small or edge models, failing Axis A."
