survivor,collapsed,canonical,source
10.1109/icbase70763.2026.11619482,['10.1109/icbase70763.2026.11619482'],,
W4411172218,"['10.1109/iccct63501.2025.11019682', '10.1109/iccct63501.2025.11019682']",,
W7126264095,"['10.1109/iconat66879.2025.11362367', '10.1109/iconat66879.2025.11362367']",,
10.1109/tempr.2025.3633992,"['10.1109/tempr.2025.3633992', 'W4416286109']",,
W7160856758,"['10.1109/cisce69494.2026.11504945', '10.1109/cisce69494.2026.11504945']",,
10.1109/icercs65898.2025.11580555,['10.1109/icercs65898.2025.11580555'],,
10.1109/ecis65594.2025.11086987,['10.1109/ecis65594.2025.11086987'],,
10.1109/icarai70085.2026.11635472,['10.1109/icarai70085.2026.11635472'],,
10.1109/access.2026.3716684,"['10.1109/access.2026.3716684', 'W7170918848']",,
10.1109/compsac69091.2026.00269,['10.1109/compsac69091.2026.00269'],,
10.1109/icdsca67083.2025.11350185,['10.1109/icdsca67083.2025.11350185'],,
10.26599/jic.2026.9180111,['10.26599/jic.2026.9180111'],,
W7124186202,"['10.1109/icpads67057.2025.11323204', '10.1109/icpads67057.2025.11323204', '2510.26242v1']",,
10.1109/iicai70155.2026.11620998,['10.1109/iicai70155.2026.11620998'],,
10.1109/access.2026.3693365,"['10.1109/access.2026.3693365', 'W7161179978']",,
10.1109/tmc.2026.3669346,"['10.1109/tmc.2026.3669346', 'W7133244348']",,
10.1109/yef-ece70590.2026.11614644,['10.1109/yef-ece70590.2026.11614644'],,
10.1109/tits.2026.3715630,['10.1109/tits.2026.3715630'],,
W4407169644,"['10.1109/iciics63763.2024.10859967', '10.1109/iciics63763.2024.10859967']",,
10.1109/eitce70137.2026.11634570,['10.1109/eitce70137.2026.11634570'],,
10.1109/sci68648.2025.11333875,['10.1109/sci68648.2025.11333875'],,
10.1109/aist68591.2025.11441571,['10.1109/aist68591.2025.11441571'],,
10.1109/aixse64906.2025.00019,['10.1109/aixse64906.2025.00019'],,
10.1109/fllm67465.2025.11391103,['10.1109/fllm67465.2025.11391103'],,
10.1109/incowoco68239.2025.11407254,['10.1109/incowoco68239.2025.11407254'],,
10.1109/access.2026.3720493,['10.1109/access.2026.3720493'],,
W7131102993,"['10.1109/ispds67367.2025.11390897', '10.1109/ispds67367.2025.11390897']",,
10.1109/aiea70743.2026.11632622,['10.1109/aiea70743.2026.11632622'],,
10.1109/tccn.2026.3710519,['10.1109/tccn.2026.3710519'],,
W7125916965,"['10.1109/ica67499.2025.00034', '10.1109/ica67499.2025.00034']",,
W7130554965,"['10.1109/icocics68032.2025.11384057', '10.1109/icocics68032.2025.11384057']",,
10.1109/tmc.2025.3528413,['10.1109/tmc.2025.3528413'],,
10.1109/ei268505.2025.11425080,['10.1109/ei268505.2025.11425080'],,
10.1109/icbdse70225.2026.11635503,['10.1109/icbdse70225.2026.11635503'],,
10.1109/infocom59046.2026.11571236,['10.1109/infocom59046.2026.11571236'],,
W7128303426,"['10.1109/mnet.2026.3657581', '10.1109/mnet.2026.3657581']",,
10.17775/cseejpes.2025.08910,['10.17775/cseejpes.2025.08910'],,
10.1109/cac67268.2025.11487625,['10.1109/cac67268.2025.11487625'],,
10.1109/cac67268.2025.11487397,['10.1109/cac67268.2025.11487397'],,
10.1109/mita66017.2025.11100261,['10.1109/mita66017.2025.11100261'],,
10.1109/aiot66900.2025.00018,['10.1109/aiot66900.2025.00018'],,
10.1109/cisce69494.2026.11504621,['10.1109/cisce69494.2026.11504621'],,
W7147007827,"['10.1109/cnml68938.2026.11453032', '10.1109/cnml68938.2026.11453032', 'W7133970010']",,
W4414054808,['10.1109/icmi65310.2025.11141256'],,
10.1109/compsac69091.2026.00104,['10.1109/compsac69091.2026.00104'],,
10.1109/tg.2025.3564042,"['10.1109/tg.2025.3564042', 'W4409762879']",,
10.1109/cac67268.2025.11487238,['10.1109/cac67268.2025.11487238'],,
10.1109/usbereit70063.2026.11580973,['10.1109/usbereit70063.2026.11580973'],,
10.1109/cloud72782.2026.00018,['10.1109/cloud72782.2026.00018'],,
10.1109/iccci70321.2026.11666502,['10.1109/iccci70321.2026.11666502'],,
10.1109/icrai70912.2026.11551963,['10.1109/icrai70912.2026.11551963'],,
10.1109/ccwc67433.2026.11393821,['10.1109/ccwc67433.2026.11393821'],,
10.1109/tvt.2026.3717035,['10.1109/tvt.2026.3717035'],,
10.1109/greentech68285.2026.11471628,['10.1109/greentech68285.2026.11471628'],,
W4406355186,"['10.1109/ictc62082.2024.10827595', '10.1109/ictc62082.2024.10827595']",,
10.1109/isaes70982.2026.11669833,['10.1109/isaes70982.2026.11669833'],,
W4415399190,"['10.1109/sisy67000.2025.11205417', '10.1109/sisy67000.2025.11205417']",,
10.1109/aitest70988.2026.00040,['10.1109/aitest70988.2026.00040'],,
10.1109/tvt.2026.3728548,['10.1109/tvt.2026.3728548'],,
10.1109/ceccc68691.2025.00016,['10.1109/ceccc68691.2025.00016'],,
10.1109/eurospw72509.2026.00057,['10.1109/eurospw72509.2026.00057'],,
10.1109/cars67163.2025.11337894,['10.1109/cars67163.2025.11337894'],,
10.1109/mnet.2026.3711017,['10.1109/mnet.2026.3711017'],,
10.1109/access.2026.3681404,['10.1109/access.2026.3681404'],,
10.1109/icera72709.2026.11666732,['10.1109/icera72709.2026.11666732'],,
W7163134772,['10.1109/icaiset66439.2026.11541396'],,
10.1109/icitsif69060.2026.11608458,['10.1109/icitsif69060.2026.11608458'],,
10.1109/acsac67867.2025.00093,['10.1109/acsac67867.2025.00093'],,
10.1109/icft66708.2025.11336542,['10.1109/icft66708.2025.11336542'],,
10.1109/jstsp.2026.3713806,['10.1109/jstsp.2026.3713806'],,
10.1109/icws72778.2026.00057,['10.1109/icws72778.2026.00057'],,
W7160283634,"['10.1109/aiei69164.2026.11496917', '10.1109/aiei69164.2026.11496917']",,
10.1109/icc51166.2024.10623108,['10.1109/icc51166.2024.10623108'],,
10.1109/itsc60802.2025.11423790,['10.1109/itsc60802.2025.11423790'],,
10.1109/metrolivenv70468.2026.11659911,['10.1109/metrolivenv70468.2026.11659911'],,
W7131295740,"['10.1109/iccece69169.2026.11399756', '10.1109/iccece69169.2026.11399756']",,
10.1109/icws72778.2026.00166,['10.1109/icws72778.2026.00166'],,
10.1109/access.2026.3672699,"['10.1109/access.2026.3672699', 'W7134970244', 'W7129517594']",,
10.1109/eei70303.2026.11640639,['10.1109/eei70303.2026.11640639'],,
10.1109/jcc72984.2026.00019,['10.1109/jcc72984.2026.00019'],,
10.1109/compsac69091.2026.00054,['10.1109/compsac69091.2026.00054'],,
10.1109/wcnc65185.2026.11555260,['10.1109/wcnc65185.2026.11555260'],,
10.1109/ecnct70535.2026.11661501,['10.1109/ecnct70535.2026.11661501'],,
10.1109/jstars.2026.3698592,"['10.1109/jstars.2026.3698592', 'W7163010966']",,
W4407784102,['10.1109/comsnets63942.2025.10885706'],,
10.1109/icera72709.2026.11666711,['10.1109/icera72709.2026.11666711'],,
W7123346067,"['10.1109/icdiss68238.2025.11320766', '10.1109/icdiss68238.2025.11320766']",,
10.1109/gcon69192.2026.11648987,['10.1109/gcon69192.2026.11648987'],,
W4417131711,"['10.1109/bhi67747.2025.11269507', '10.1109/bhi67747.2025.11269507']",,
10.1109/icassp55912.2026.11464574,['10.1109/icassp55912.2026.11464574'],,
10.1109/ojcoms.2025.3642642,"['W4417426828', 'W7113901793']",,
10.1109/icassp55912.2026.11463222,['10.1109/icassp55912.2026.11463222'],,
10.1109/siu71813.2026.11636756,['10.1109/siu71813.2026.11636756'],,
10.1109/mipro70003.2026.11591581,['10.1109/mipro70003.2026.11591581'],,
10.1109/access.2026.3724622,['10.1109/access.2026.3724622'],,
10.1109/compsac69091.2026.00234,['10.1109/compsac69091.2026.00234'],,
10.1109/icdcece68961.2026.11646123,['10.1109/icdcece68961.2026.11646123'],,
10.1109/iceccme64568.2025.11277972,['10.1109/iceccme64568.2025.11277972'],,
10.1109/sse72781.2026.00018,['10.1109/sse72781.2026.00018'],,
10.1109/cac67268.2025.11487818,['10.1109/cac67268.2025.11487818'],,
10.1109/ichi69079.2026.00103,['10.1109/ichi69079.2026.00103'],,
W7133314893,"['10.1109/iccids69108.2026.11407853', '10.1109/iccids69108.2026.11407853']",,
10.1109/jiot.2025.3632638,['W7105612452'],,
10.1109/netsoft70012.2026.11603499,['10.1109/netsoft70012.2026.11603499'],,
10.1109/access.2026.3724626,['W7203721462'],,
10.1109/ichi69079.2026.00176,['10.1109/ichi69079.2026.00176'],,
10.1109/cai68641.2026.11536481,['10.1109/cai68641.2026.11536481'],,
W4417405261,"['10.1109/icidca66325.2025.11280317', '10.1109/icidca66325.2025.11280317']",,
10.1109/mcomstd.2026.3674904,['10.1109/mcomstd.2026.3674904'],,
10.1109/icufn69619.2026.11628683,['10.1109/icufn69619.2026.11628683'],,
10.1109/icciaa68481.2026.11543940,['10.1109/icciaa68481.2026.11543940'],,
10.1109/infocom59046.2026.11571400,['10.1109/infocom59046.2026.11571400'],,
10.1109/tfuzz.2025.3581205,"['10.1109/tfuzz.2025.3581205', 'W4411446206']",,
10.1109/access.2026.3698020,['10.1109/access.2026.3698020'],,
10.1109/eeps68057.2025.11351537,['10.1109/eeps68057.2025.11351537'],,
10.1109/dlcv65218.2025.11088533,['10.1109/dlcv65218.2025.11088533'],,
10.1109/ccai69603.2026.11642106,['10.1109/ccai69603.2026.11642106'],,
10.1109/icecet65726.2026.11632566,['10.1109/icecet65726.2026.11632566'],,
10.1109/access.2026.3722340,"['10.1109/access.2026.3722340', 'W7202134437']",,
10.1109/caibda70336.2026.11621849,['10.1109/caibda70336.2026.11621849'],,
10.1109/access.2026.3700477,['10.1109/access.2026.3700477'],,
10.1109/mnet.2026.3658903,['10.1109/mnet.2026.3658903'],,
W4407248295,"['10.1109/techdefense63521.2024.10863311', '10.1109/techdefense63521.2024.10863311']",,
W7155529625,"['10.1109/btfm69084.2026.11484108', '10.1109/btfm69084.2026.11484108']",,
10.1109/mlise70044.2026.11607533,['10.1109/mlise70044.2026.11607533'],,
